objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Cribbage","2398","9.5","","0","1","0","0","0","0","0","0","0","3","","","","","","79179482","6.78046","7.07775","1.9013","653","14134","thing","Cribbage","2","4","30","30","30","1630","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: The Long Night","193037","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","57824840","7.16448","7.58911","3.3736","281","19896","thing","Dead of Winter: The Long Night","2","5","120","120","60","2016","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deception: Murder in Hong Kong","156129","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57823811","7.27593","7.47861","1.5848","215","28598","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Diamant","15512","8","","0","1","0","0","0","0","0","0","0","3","","","","","","65133740","6.69222","6.82215","1.1122","789","23646","thing","Diamant","3","8","30","30","30","2005","3,4,5,6,7,8","6,7,8","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Town","40793","10","","0","1","0","0","0","0","0","0","0","3","","","","","","52754168","6.58129","6.86165","1.6875","967","8804","thing","Dice Town","2","5","45","45","45","2009","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Town: Wild West","94471","8","","0","1","0","0","0","0","0","0","0","3","","","","","","52754170","6.16267","7.34463","1.9722","0","2929","thing","Dice Town: Wild West","2","6","60","60","60","2011","3,4,5,6","6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit","39856","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824654","7.12198","7.23067","1.2069","317","81176","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Get Got!","262547","0","","0","1","0","0","0","0","0","0","0","1","","","","","","69220525","6.0891","7.1113","1.05","2232","3068","thing","Don't Get Got!","2","10","1440","1440","30","2018","4,5,6,7,8,9,10","7","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Draftosaurus","264055","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","65133760","6.85496","7.1392","1.2581","571","14872","thing","Draftosaurus","2","5","15","15","15","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonfire","226501","7","","0","1","0","0","0","0","0","0","0","1","","","","","","68075602","6.33672","7.1874","3.2048","1449","5337","thing","Dragonfire","2","6","90","90","60","2017","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Drop It","244916","6","","0","1","0","0","0","0","0","0","0","3","","","","","","62701505","6.30742","6.91635","1.1","1523","3525","thing","Drop It","2","4","30","30","30","2018","2,3,4","2,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Duelosaur Island","247236","7","","0","1","0","0","0","0","0","0","0","1","","","","","","58749135","6.50756","7.12006","2.3443","1104","7526","thing","Duelosaur Island","1","2","45","45","30","2018","1,2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
