203
star_trek_panic	2016	5	6.25424	2.1364	6	90
star_wars:_empire_vs._rebellion	2014	5	5.90593	1.7342	2	60
star_wars:_imperial_assault	2014	6	7.73846	3.3031	5	120
star_wars:_x-wing_miniatures_game_–_the_force_awakens_core_set	2015	5	6.94074	2.8269	2	45
sushi_go_party!	2016	6.5	7.28959	1.3237	8	20
sushi_go!	2013	6.5	6.94022	1.1667	5	15
sushi_roll	2019	8	6.43491	1.2353	5	20
t.i.m.e_stories	2015	7	7.3781	2.6086	4	90
t.i.m.e_stories:_a_prophecy_of_dragons	2016	10	7.08247	2.6271	4	180
t.i.m.e_stories:_estrella_drive	2017	1	6.34313	2.2308	4	90
t.i.m.e_stories:_expedition_–_endurance	2017	6	6.70433	2.3333	4	90
t.i.m.e_stories:_the_marcy_case	2015	6	7.13007	2.6265	4	90
t.i.m.e_stories:_under_the_mask	2016	2	6.75741	2.5278	4	0
takenoko	2011	6	7.14637	1.9833	4	45
targi	2012	9	7.41974	2.3512	2	60
telestrations	2009	5.5	7.16587	1.0803	8	30
terraforming_mars	2016	7	8.28608	3.2404	5	120
terraforming_mars:_hellas_&_elysium	2017	7	7.82637	2.9195	5	120
terraforming_mars:_prelude	2018	9	8.26188	2.5281	5	120
three-dragon_ante:_emperor's_gambit	2010	4	5.79025	1.8	6	30
ticket_to_ride	2004	6	7.31734	1.8493	5	60
ticket_to_ride:_new_york	2018	7.5	6.59879	1.2812	4	15
tides_of_time	2015	5.5	6.4325	1.5816	2	20
timeline:_inventions	2010	6	6.47523	1.1065	8	15
tiny_epic_defenders	2015	7	5.97683	1.8081	4	30
tiny_epic_dinosaurs	2020	0	6.33268	2.4857	4	60
tiny_epic_galaxies	2015	9.5	7.15648	2.1635	5	45
tiny_epic_western	2016	7	6.28922	2.87	4	45
tiny_epic_zombies	2018	6	6.49861	2.4306	5	45
tsuro	2004	5.5	6.55474	1.2363	8	20
unlock!:_escape_adventures_–_squeek_&_sausage	2017	8	6.56972	2.1379	6	75
unlock!:_escape_adventures_–_the_formula	2017	6.5	6.46598	2.3333	6	75
unlock!:_escape_adventures_–_the_island_of_doctor_goorse	2017	0	6.13615	2.9524	6	60
unlock!:_mystery_adventures_–_the_house_on_the_hill	2017	8.5	6.33552	1.7619	6	60
unlock!:_mystery_adventures_–_the_nautilus'_traps	2017	8	5.74151	2.8182	6	60
unlock!:_mystery_adventures_–_the_tonipal's_treasure	2017	0	6.28748	2.5556	6	60
unlock!:_secret_adventures_–_a_noside_story	2018	6.5	6.13821	2.5714	6	60
via_magica	2020	7	5.80547	1.3125	6	30
via_nebula	2016	7.5	6.60756	2.2407	4	60
viticulture_essential_edition	2015	10	7.90997	2.9092	6	90
viticulture:_tuscany_essential_edition	2016	9	7.91864	3.3106	6	150
welcome_to_the_dungeon	2013	7.5	6.46012	1.2261	4	30
welcome_to...	2018	8.5	7.41487	1.8145	100	25
werewords	2017	6	6.64571	1.1915	10	10
when_i_dream	2016	5.5	6.60839	1.1455	10	40
wits_&_wagers_family	2010	8	6.26682	1.1053	10	20
yeti_in_my_spaghetti	2015	5	5.4192	1	99	15
zombie_dice	2010	6.5	6.08429	1.1	99	20
