name	gibbonsrating	baverage	avgweight	yearpublished	bggbestplayers
Star Trek Panic	5	6.18789	2	2016	1,3,4
Star Wars: Empire vs. Rebellion	5	5.86805	1.7471	2014	2
Star Wars: Imperial Assault	6	7.68645	3.3041	2014	2,5
Survive: Escape from Atlantis!	9	7.1324	1.6981	1982	4
Sushi Go Party!	7	7.25189	1.3027	2016	4,5
Sushi Go!	6.5	6.90399	1.1586	2013	4
Sushi Roll	8	6.51015	1.2414	2019	4
T.I.M.E Stories	7	7.23072	2.5969	2015	4
T.I.M.E Stories: A Prophecy of Dragons	10	6.98257	2.6429	2016	4
T.I.M.E Stories: Estrella Drive	1	6.336	2.25	2017	4
T.I.M.E Stories: Expedition “ Endurance	6	6.6439	2.2692	2017	4
T.I.M.E Stories: The Marcy Case	6	7.04172	2.6703	2015	4
T.I.M.E Stories: Under the Mask	2	6.68677	2.4524	2016	4
Takenoko	6	7.09798	1.9767	2011	3
Targi	9	7.43266	2.3419	2012	2
Telestrations	7.5	7.15837	1.0693	2009	8
Terraforming Mars	6.5	8.23239	3.2571	2016	3
Terraforming Mars: Hellas & Elysium	7	7.87924	2.8058	2017	3
Terraforming Mars: Prelude	9	8.39327	2.4881	2018	3
Three-Dragon Ante: Emperor's Gambit	4	5.74975	1.8	2010	4,5,6
Ticket to Ride: London	8	6.57868	1.3176	2019	3
Ticket to Ride: New York	7.5	6.57298	1.2424	2018	2
Tides of Time	5.5	6.36583	1.5602	2015	2
Timeline: Inventions	6	6.44078	1.0985	2010	4
Tin Helm	7.5	5.73459	1.5455	2021	1
Tiny Epic Defenders	7	5.92862	1.8137	2015	1
Tiny Epic Dinosaurs	6	6.60127	2.6338	2020	2
Tiny Epic Galaxies	9.5	7.1338	2.1552	2015	3
Tiny Epic Western	7	6.23714	2.8818	2016	4
Tiny Epic Zombies	6	6.48585	2.4787	2018	3
Tsuro	6	6.54096	1.2267	2005	4,6
Unlock!: Escape Adventures “ Squeek & Sausage	8	6.50997	2.1176	2017	2,3
Unlock!: Escape Adventures “ The Formula	6.5	6.39513	2.3333	2017	2,3
Unlock!: Escape Adventures “ The Island of Doctor Goorse	0	6.08782	2.96	2017	4
Unlock!: Mystery Adventures “ The House on the Hill	8.5	6.27965	1.8077	2017	2
Unlock!: Mystery Adventures “ The Nautilus' Traps	8	5.74369	2.7586	2017	2,3
Unlock!: Mystery Adventures “ The Tonipal's Treasure	6.5	6.24646	2.4762	2017	2
Unlock!: Secret Adventures “ A Noside Story	6.5	6.11439	2.4444	2018	2
Via Magica	7	6.04551	1.5122	2020	3,4
Via Nebula	7.5	6.55665	2.2381	2016	3,4
Viticulture Essential Edition	10	7.86135	2.8899	2015	3,4
Viticulture: Tuscany Essential Edition	10	8.00333	3.2692	2016	4
Welcome to the Dungeon	7.5	6.4053	1.2318	2013	3
Welcome To...	8.5	7.39897	1.8288	2018	3,4
Werewords	6	6.65665	1.1642	2017	6,7
Western Legends	8	7.21443	2.8333	2018	4
When I Dream	5.5	6.5482	1.2051	2016	6
Wits & Wagers Family	8	6.22003	1.0988	2010	5,6
Wobble King	6.5	5.51027	1	2018	2,3,4
Zombie Dice	6.5	6.08265	1.0957	2010	4,5
